group,taxa,species,sp_ncbi,GS_source,GS_obs,Cvalue_1C_pg,ploidy,N_chromosomes_2n,method,congener
vert,Bird,Cygnus olor,Cygnus olor,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.48,NA,80,FC_X,no
vert,Bird,Delichon urbica,Delichon urbicum,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Dumetella carolinensis,Dumetella carolinensis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.32,NA,NA,FIA,no
vert,Bird,Emberiza cia,Emberiza cia,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Emberiza flaviventris,1.38,NA,NA,FIA,yes
vert,Bird,Emberiza cia,Emberiza cia,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Emberiza tahapisi,1.25,NA,NA,FIA,yes
vert,Bird,Emberiza hortulana,Emberiza hortulana,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Emberiza flaviventris,1.38,NA,NA,FIA,yes
vert,Bird,Emberiza hortulana,Emberiza hortulana,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Emberiza tahapisi,1.25,NA,NA,FIA,yes
vert,Bird,Emberiza schoeniclus,Emberiza schoeniclus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Emberiza flaviventris,1.38,NA,NA,FIA,yes
vert,Bird,Emberiza schoeniclus,Emberiza schoeniclus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Emberiza tahapisi,1.25,NA,NA,FIA,yes
vert,Bird,Empidonax alnorum/traillii,Empidonax alnorum/traillii,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,Data for E. alnorum,1.22,NA,NA,FIA,no
vert,Bird,Empidonax minimus,Empidonax minimus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.2,NA,NA,FIA,no
vert,Bird,Empidonax virescens,Empidonax virescens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Empidonax alnorum,1.22,NA,NA,FIA,yes
vert,Bird,Empidonax virescens,Empidonax virescens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Empidonax minimus,1.2,NA,NA,FIA,yes
vert,Bird,Empidonax virescens,Empidonax virescens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Empidonax sp.,1.17,NA,NA,FIA,yes
vert,Bird,Erithacus rubecula,Erithacus rubecula,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.82,NA,NA,SCF,no
vert,Bird,Ficedula albicollis,Ficedula albicollis,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Ficedula hypoleuca,Ficedula hypoleuca,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Fringilla coelebs,Fringilla coelebs,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.12,NA,80,SCF,no
vert,Bird,Fringilla montifringilla,Fringilla montifringilla,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Fringilla coelebs,1.12,NA,80,SCF,yes
vert,Bird,Garrulus glandarius,Garrulus glandarius,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.24,NA,80,Fe,no
vert,Bird,Geospiza fortis,Geospiza fortis,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Geospiza scandens,Geospiza scandens,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Geothlypis formosa,Geothlypis formosa,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Geothlypis trichas,1.44,NA,NA,FIA,yes
vert,Bird,Geothlypis trichas,Geothlypis trichas,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.44,NA,NA,FIA,no
vert,Bird,Hippolais icterina,Hippolais icterina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.29,NA,NA,FIA,no
vert,Bird,Hirundo rustica,Hirundo rustica,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.31,NA,NA,FIA,no
vert,Bird,Hylocichla mustelina,Hylocichla mustelina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.38,NA,NA,FC_X,no
vert,Bird,Hylocichla mustelina,Hylocichla mustelina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.38,NA,NA,FIA,no
vert,Bird,Hylocichla mustelina,Hylocichla mustelina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.5,NA,NA,FC_X,no
vert,Bird,Icteria virens,Icteria virens,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Icterus galbula,Icterus galbula,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.23,NA,NA,FIA,no
vert,Bird,Junco hyemalis,Junco hyemalis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.3,NA,NA,FIA,no
vert,Bird,Jynx torquilla,Jynx torquilla,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Jynx ruficollis,1.31,NA,NA,FIA,yes
vert,Bird,Lanius collurio,Lanius collurio,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.21,NA,NA,FIA,no
vert,Bird,Larus audouinii,Ichthyaetus audouinii,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Locustella fluviatilis,Locustella fluviatilis,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Locustella naevia,Locustella naevia,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Loxia curvirostra,Loxia curvirostra,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Lullula arborea,Lullula arborea,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Luscinia megarhynchos,Luscinia megarhynchos,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Melanerpes carolinus,Melanerpes carolinus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Melanerpes cruentalus,1.63,NA,NA,FIA,yes
vert,Bird,Melanerpes carolinus,Melanerpes carolinus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Melanerpes formicivorus,1.69,NA,NA,FIA,yes
vert,Bird,Melospiza georgiana,Melospiza georgiana,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.49,NA,NA,FIA,no
vert,Bird,Melospiza lincolnii,Melospiza lincolnii,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.23,NA,NA,FIA,no
vert,Bird,Melospiza melodia,Melospiza melodia,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.43,NA,NA,FIA,no
vert,Bird,Mniotilta varia,Mniotilta varia,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.29,NA,NA,FIA,no
vert,Bird,Molothrus ater,Molothrus ater,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.41,NA,NA,FIA,no
vert,Bird,Motacilla alba,Motacilla alba,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Motacilla capensis,1.05,NA,NA,FIA,yes
vert,Bird,Motacilla cinerea,Motacilla cinerea,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Motacilla capensis,1.05,NA,NA,FIA,yes
vert,Bird,Motacilla flava,Motacilla flava,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Motacilla capensis,1.05,NA,NA,FIA,yes
vert,Bird,Muscicapa striata,Muscicapa striata,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.46,NA,NA,FIA,no
vert,Bird,Myiarchus crinitus,Myiarchus crinitus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.32,NA,NA,FIA,no
vert,Bird,Oenanthe oenanthe,Oenanthe oenanthe,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Oenanthe monticola,1.24,NA,NA,FIA,yes
vert,Bird,Oreothlypis celata,Leiothlypis celata,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Oreothlypis ruficapilla,Leiothlypis ruficapilla,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Parkesia motacilla,Parkesia motacilla,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Parkesia noveboracensis,Parkesia noveboracensis,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Parus ater,Periparus ater,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.58,NA,80,SCF,no
vert,Bird,Parus caeruleus,Cyanistes caeruleus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.47,NA,NA,SCF,no
vert,Bird,Parus major,Parus major,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.51,NA,80,SCF,no
vert,Bird,Passer domesticus,Passer domesticus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.25,NA,NA,Fe,no
vert,Bird,Passer domesticus,Passer domesticus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.26,NA,NA,SCF,no
vert,Bird,Passer domesticus,Passer domesticus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.51,NA,76,FC_X,no
vert,Bird,Passer domesticus,Passer domesticus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.57,NA,NA,FC_X,no
vert,Bird,Passer montanus,Passer montanus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.09,NA,78,SCF,no
vert,Bird,Passerella iliaca,Passerella iliaca,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Passerina cyanea,Passerina cyanea,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.3,NA,NA,FIA,no
vert,Bird,Pheucticus ludovicianus,Pheucticus ludovicianus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.33,NA,NA,FIA,no
vert,Bird,Phoenicurus ochruros,Phoenicurus ochruros,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Phoenicurus phoenicurus,Phoenicurus phoenicurus,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Phylloscopus collybita,Phylloscopus collybita,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.47,NA,NA,SCF,no
vert,Bird,Phylloscopus sibilatrix,Phylloscopus sibilatrix,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Phylloscopus collybita,1.47,NA,NA,SCF,yes
vert,Bird,Phylloscopus sibilatrix,Phylloscopus sibilatrix,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Phylloscopus trochilus,1.32,NA,NA,FIA,yes
vert,Bird,Phylloscopus trochilus,Phylloscopus trochilus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.32,NA,NA,FIA,no
vert,Bird,Picoides pubescens,Dryobates pubescens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Dryobates nuttallii (synonym Picoides nuttallii),1.51,NA,NA,FIA,yes
vert,Bird,Picoides villosus,Picoides villosus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.38,NA,NA,FIA,no
vert,Bird,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.37,NA,NA,FIA,no
vert,Bird,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.32,NA,NA,Fe,no
vert,Bird,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.55,NA,84,FC_X,no
vert,Bird,Piranga olivacea,Piranga olivacea,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.27,NA,NA,FIA,no
vert,Bird,Pitangus sulphuratus,Pitangus sulphuratus,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Poecile atricapillus,Poecile atricapillus,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Polioptila caerulea,Polioptila caerulea,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.38,NA,NA,Fe,no
vert,Bird,Prunella modularis,Prunella modularis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.47,NA,NA,SCF,no
vert,Bird,Pyrrhula pyrrhula,Pyrrhula pyrrhula,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Quiscalus quiscula,Quiscalus quiscula,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.32,NA,NA,FIA,no
vert,Bird,Regulus calendula,Regulus calendula,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.21,NA,NA,FIA,no
vert,Bird,Regulus calendula,Regulus calendula,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.31,NA,NA,FC_X,no
vert,Bird,Regulus calendula,Regulus calendula,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.35,NA,NA,Fe,no
vert,Bird,Regulus ignicapillus,Regulus ignicapilla,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Regulus calendula,1.21,NA,NA,FIA,yes
vert,Bird,Regulus ignicapillus,Regulus ignicapilla,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Regulus calendula,1.31,NA,NA,FC_X,yes
vert,Bird,Regulus ignicapillus,Regulus ignicapilla,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Regulus calendula,1.35,NA,NA,Fe,yes
vert,Bird,Regulus regulus,Regulus regulus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Regulus calendula,1.21,NA,NA,FIA,yes
vert,Bird,Regulus regulus,Regulus regulus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Regulus calendula,1.31,NA,NA,FC_X,yes
vert,Bird,Regulus regulus,Regulus regulus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Regulus calendula,1.35,NA,NA,Fe,yes
vert,Bird,Riparia riparia,Riparia riparia,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.45,NA,NA,FIA,no
vert,Bird,Saxicola rubetra,Saxicola rubetra,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Sayornis phoebe,Sayornis phoebe,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.45,NA,NA,Fe,no
vert,Bird,Seiurus aurocapilla,Seiurus aurocapilla,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.36,NA,NA,FIA,no
vert,Bird,Serinus citrinella,Serinus citrinella,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus atrogularis,1.5,NA,NA,FIA,yes
vert,Bird,Serinus citrinella,Serinus citrinella,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus canaria,1.48,NA,80,Fe,yes
vert,Bird,Serinus citrinella,Serinus citrinella,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus canaria,1.54,NA,NA,SCF,yes
vert,Bird,Serinus citrinella,Serinus citrinella,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus canaria,1.58,NA,NA,Fe,yes
vert,Bird,Serinus citrinella,Serinus citrinella,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus canaria,1.62,NA,NA,Fe,yes
vert,Bird,Serinus citrinella,Serinus citrinella,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus flaviventris,1.23,NA,NA,FIA,yes
vert,Bird,Serinus serinus,Serinus serinus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus atrogularis,1.5,NA,NA,FIA,yes
vert,Bird,Serinus serinus,Serinus serinus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus canaria,1.48,NA,80,Fe,yes
vert,Bird,Serinus serinus,Serinus serinus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus canaria,1.54,NA,NA,SCF,yes
vert,Bird,Serinus serinus,Serinus serinus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus canaria,1.58,NA,NA,Fe,yes
vert,Bird,Serinus serinus,Serinus serinus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus canaria,1.62,NA,NA,Fe,yes
vert,Bird,Serinus serinus,Serinus serinus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Serinus flaviventris,1.23,NA,NA,FIA,yes
vert,Bird,Setophaga americana,Setophaga americana,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga americana,Setophaga americana,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Setophaga caerulescens,Setophaga caerulescens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga caerulescens,Setophaga caerulescens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Setophaga castanea,Setophaga castanea,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga castanea,Setophaga castanea,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Setophaga citrina,Setophaga citrina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga citrina,Setophaga citrina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Setophaga coronata,Setophaga coronata,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga coronata,Setophaga coronata,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Setophaga fusca,Setophaga fusca,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga fusca,Setophaga fusca,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Setophaga petechia,Setophaga petechia,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga petechia,Setophaga petechia,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Setophaga ruticilla,Setophaga ruticilla,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.31,NA,NA,FIA,no
vert,Bird,Setophaga striata,Setophaga striata,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga striata,Setophaga striata,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Setophaga tigrina,Setophaga tigrina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga tigrina,Setophaga tigrina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Setophaga virens,Setophaga virens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga ruticilla,1.31,NA,NA,FIA,yes
vert,Bird,Setophaga virens,Setophaga virens,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Setophaga pitiayumi,1.43,NA,NA,FIA,yes
vert,Bird,Sialia sialis,Sialia sialis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.28,NA,NA,FIA,no
vert,Bird,Sialia sialis,Sialia sialis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.45,NA,NA,Fe,no
vert,Bird,Sitta carolinensis,Sitta carolinensis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Sitta canadensis,1.22,NA,NA,FIA,yes
vert,Bird,Sitta europaea,Sitta europaea,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Sitta canadensis,1.22,NA,NA,FIA,yes
vert,Bird,Spinus pinus,Spinus pinus,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Spinus tristis,Spinus tristis,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Spizella passerina,Spizella passerina,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.29,NA,NA,FIA,no
vert,Bird,Spizella pusilla,Spizella pusilla,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.28,NA,NA,FIA,no
vert,Bird,Stelgidopteryx serripennis,Stelgidopteryx serripennis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.36,NA,NA,FIA,no
vert,Bird,Sterna paradisaea,Sterna paradisaea,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Sturnia philippensis,Sturnus philippensis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Sturnus vulgaris,1.3,NA,80,Fe,yes
vert,Bird,Sturnia philippensis,Sturnus philippensis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Sturnus vulgaris,1.32,NA,NA,FIA,yes
vert,Bird,Sturnus vulgaris,Sturnus vulgaris,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.3,NA,80,Fe,no
vert,Bird,Sturnus vulgaris,Sturnus vulgaris,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.32,NA,NA,FIA,no
vert,Bird,Sylvia atricapilla,Sylvia atricapilla,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.09,NA,NA,SCF,no
vert,Bird,Sylvia borin,Sylvia borin,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Sylvia atricapilla,1.09,NA,NA,SCF,yes
vert,Bird,Sylvia borin,Sylvia borin,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Sylvia communis,1.3,NA,NA,FIA,yes
vert,Bird,Sylvia communis,Sylvia communis,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.3,NA,NA,FIA,no
vert,Bird,Tachycineta bicolor,Tachycineta bicolor,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.35,NA,NA,FIA,no
vert,Bird,Telespyza cantans,Telespiza cantans,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Thryothorus ludovicianus,Thryothorus ludovicianus,NA,NA,NA,NA,NA,NA,NA
vert,Bird,Toxostoma rufum,Toxostoma rufum,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.23,NA,NA,FIA,no
vert,Bird,Toxostoma rufum,Toxostoma rufum,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.27,NA,78,Fe,no
vert,Bird,Troglodytes aedon,Troglodytes aedon,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.27,NA,NA,FIA,no
vert,Bird,Troglodytes aedon,Troglodytes aedon,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.34,NA,NA,FIA,no
vert,Bird,Troglodytes troglodytes,Troglodytes troglodytes,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.3,NA,NA,SCF,no
vert,Bird,Troglodytes troglodytes,Troglodytes troglodytes,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.32,NA,NA,FIA,no
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus chiguanco,1.44,NA,,FIA,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus leucops,1.32,NA,,FIA,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus merula,1.25,NA,80,Fe,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus merula,1.51,NA,,SCF,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus migratorius,1.37,NA,80,FIA,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus migratorius,1.39,NA,,FIA,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus nigriceps,1.35,NA,,FIA,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus philomelos,1.09,NA,80,Fe,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus philomelos,1.93,NA,,SCF,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus reevei,1.37,NA,,FIA,yes
vert,Bird,Turdus iliacus,Turdus iliacus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus smithi,1.62,NA,,FIA,yes
vert,Bird,Turdus merula,Turdus merula,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.25,NA,80,Fe,no
vert,Bird,Turdus merula,Turdus merula,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.51,NA,NA,SCF,no
vert,Bird,Turdus migratorius,Turdus migratorius,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.37,NA,80,FIA,no
vert,Bird,Turdus migratorius,Turdus migratorius,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.39,NA,NA,FIA,no
vert,Bird,Turdus philomelos,Turdus philomelos,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.09,NA,80,Fe,no
vert,Bird,Turdus philomelos,Turdus philomelos,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,NA,1.93,NA,NA,SCF,no
vert,Bird,Turdus torquatus alpestris,Turdus torquatus,Gregory TR. 2021. Animal Genome Size Database. http://www.genomesize.com.,congener Turdus chiguanco,1.44,NA,,FIA,yes
